Ресурсы                                                                                                                 | Сундуки         | Выход      | Дата               
----------------------------------------------------------------------------------------------------------------------- | --------------- | ---------- | -------------------
Камни o      +/- | Дерево _/`   +/- | Смола ≈      +/- | Медь :.      +/- | Ки @         +/- | Мощь *       +/- | Кр. ♦ | o   8   Ω   Δ   | Ур. Лок.   | День       Время   
17,058        +  | 24,456        -  | 302,002       -  | 26,875        =  | 3,720,623     +  |                  |       | 116 30  10  8   | 15* Залы   | 23.09.2021 15:46:40
17,161        +  | 24,456        =  | 302,002       =  | 26,875        =  | 3,726,927     +  |                  |       | 107 51  28  5   | 15* Залы   | 24.09.2021 00:13:13
17,257        +  | 24,456        =  | 302,002       =  | 26,875        =  | 3,740,645     +  |                  |       | 124 52  30  6   | 15* Залы   | 24.09.2021 08:55:00
17,345        +  | 24,456        =  | 302,002       =  | 26,875        =  | 3,754,656     +  |                  |       | 106 43  23  3   | 15* Залы   | 24.09.2021 16:04:58
17,396        +  | 24,456        =  | 302,002       =  | 26,875        =  | 3,763,136     +  |                  |       | 70  32  6   1   | 15* Залы   | 24.09.2021 20:34:16
17,551        +  | 24,456        =  | 302,002       =  | 26,875        =  | 3,779,822     +  |                  |       | 233 116 39  4   | 15* Залы   | 25.09.2021 12:40:44
17,677        +  | 24,456        =  | 302,002       =  | 26,875        =  | 3,798,150     +  |                  |       | 134 63  30  6   | 15* Залы   | 25.09.2021 22:12:31
17,894        +  | 24,492        +  | 302,002       =  | 26,875        =  | 3,825,773     +  |                  |       | 83  33  12  3   | 15* Залы   | 26.09.2021 17:07:36
18,104        +  | 24,492        =  | 304,607       +  | 26,875        =  | 3,855,255     +  |                  |       | 17  4   1   0   | 15* Залы   | 27.09.2021 19:43:09
18,274        +  | 24,492        =  | 304,624       +  | 26,875        =  | 3,871,543     +  |                  |       | 195 90  42  6   | 15* Залы   | 28.09.2021 09:27:11
18,381        +  | 24,492        =  | 304,624       =  | 26,875        =  | 3,885,982     +  |                  |       | 124 48  22  4   | 15* Залы   | 28.09.2021 17:33:49
18,422        +  | 24,492        =  | 304,624       =  | 26,875        =  | 3,890,916     +  |                  |       | 49  26  2   1   | 15* Залы   | 28.09.2021 20:54:19
18,560        +  | 24,492        =  | 304,624       =  | 26,875        =  | 3,903,525     +  |                  |       | 183 84  27  7   | 15* Залы   | 29.09.2021 09:13:19
18,610        +  | 24,492        =  | 304,624       =  | 26,875        =  | 3,910,671     +  |                  |       | 71  32  11  2   | 15* Залы   | 29.09.2021 13:59:49
18,726        +  | 24,492        =  | 304,624       =  | 26,875        =  | 3,924,867     +  |                  |       | 131 59  34  5   | 15* Залы   | 29.09.2021 23:21:43
18,894        +  | 24,492        =  | 304,624       =  | 26,875        =  | 3,948,553     +  |                  |       | 245 110 39  6   | 15* Залы   | 30.09.2021 19:19:08
19,047        +  | 24,492        =  | 304,624       =  | 26,875        =  | 3,966,267     +  |                  |       | 202 80  30  7   | 15* Залы   | 01.10.2021 08:20:38
19,155        +  | 24,493        +  | 311,252       +  | 26,942        +  | 3,958,916     -  |                  |       | 4   0   0   0   | 15* Залы   | 02.10.2021 00:04:36
19,254        +  | 24,493        =  | 311,252       =  | 26,942        =  | 3,979,806     +  |                  |       | 165 66  29  6   | 15* Залы   | 02.10.2021 10:57:06
19,366        +  | 24,493        =  | 318,161       +  | 26,942        =  | 4,005,221     +  |                  |       | 120 54  27  0   | 15* Залы   | 03.10.2021 02:09:31
19,493        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,020,426     +  |                  |       | 146 59  34  4   | 15* Залы   | 03.10.2021 12:21:50
19,695        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,042,194     +  |                  |       | 135 41  25  5   | 15* Залы   | 04.10.2021 08:17:29
19,792        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,056,235     +  |                  |       | 130 59  28  7   | 15* Залы   | 04.10.2021 17:27:11
19,947        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,075,401     +  |                  |       | 216 75  35  7   | 15* Залы   | 05.10.2021 07:02:47
20,107        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,096,998     +  |                  |       | 188 84  31  9   | 15* Залы   | 05.10.2021 19:48:43
20,221        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,108,252     +  |                  |       | 107 56  21  6   | 15* Залы   | 06.10.2021 17:04:15
20,268        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,115,769     +  |                  |       | 67  30  17  1   | 15* Залы   | 06.10.2021 21:48:05
20,384        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,129,935     +  |                  |       | 157 70  37  6   | 15* Залы   | 07.10.2021 08:53:11
20,475        +  | 24,493        =  | 318,161       =  | 26,942        =  | 4,143,831     +  |                  |       | 133 50  21  5   | 15* Залы   | 07.10.2021 17:24:58
20,479        +  | 24,493        =  | 320,554       +  | 26,942        =  | 4,144,371     +  |                  |       | 335 36  27  2   | 15* Залы   | 08.10.2021 16:38:38
20,532        +  | 24,493        =  | 320,554       =  | 26,942        =  | 4,151,928     +  |                  |       | 60  27  20  1   | 15* Залы   | 08.10.2021 21:03:42
20,653        +  | 24,493        =  | 320,554       =  | 26,942        =  | 4,166,519     +  |                  |       | 206 74  38  5   | 15* Залы   | 09.10.2021 10:15:44
20,815        +  | 24,553        +  | 320,491       -  | 26,942        =  | 4,193,717     +  |                  |       | 246 101 41  12  | 15* Залы   | 10.10.2021 11:07:59
20,898        +  | 24,553        =  | 320,491       =  | 26,942        =  | 4,205,681     +  |                  |       | 105 48  14  4   | 15* Залы   | 10.10.2021 18:07:03
20,945        +  | 24,553        =  | 320,518       +  | 26,942        =  | 4,212,633     +  |                  |       | 42  21  14  0   | 15* Залы   | 10.10.2021 21:51:43
21,075        +  | 24,553        =  | 320,549       +  | 26,942        =  | 4,237,836     +  |                  |       | 163 85  22  4   | 15* Залы   | 12.10.2021 08:26:13
21,075        =  | 24,553        =  | 320,549       =  | 26,942        =  | 4,252,399     +  |                  |       | 126 50  32  4   | 15* Залы   | 12.10.2021 17:06:52
21,075        =  | 24,553        =  | 320,549       =  | 26,942        =  | 4,258,110     +  |                  |       | 55  13  10  4   | 15* Залы   | 12.10.2021 20:28:30
21,075        =  | 24,553        =  | 320,549       =  | 26,942        =  | 4,263,872     +  |                  |       | 54  22  8   2   | 15* Залы   | 12.10.2021 23:59:08
21,105        +  | 24,553        =  | 320,549       =  | 26,942        =  | 4,271,519     +  |                  |       | 123 45  26  1   | 15* Залы   | 13.10.2021 08:21:38
21,105        =  | 24,553        =  | 320,549       =  | 26,942        =  | 4,285,678     +  |                  |       | 106 58  19  6   | 15* Залы   | 13.10.2021 16:06:33
21,123        +  | 24,553        =  | 320,549       =  | 26,972        +  | 4,200,393     -  |                  |       | 17  3   2   2   | 15* Залы   | 13.10.2021 20:43:55
21,123        =  | 24,553        =  | 320,549       =  | 26,972        =  | 4,215,034     +  |                  |       | 181 65  33  5   | 15* Залы   | 14.10.2021 08:19:35
21,123        =  | 24,553        =  | 320,549       =  | 26,972        =  | 4,228,584     +  |                  |       | 123 58  21  4   | 15* Залы   | 14.10.2021 16:45:54
26,780        +  | 24,553        +  | 314,653       +  | 26,972        +  | 4,225,522     +  |                  |       | 10  204 77  8   | 15* Залы   | 15.10.2021 16:46:25
26,780        =  | 24,553        =  | 314,653       =  | 26,972        =  | 4,237,432     +  |                  |       | 98  37  15  2   | 15* Залы   | 15.10.2021 22:59:02
26,785        +  | 24,553        =  | 314,653       =  | 26,972        =  | 4,248,101     +  |                  |       | 172 77  27  3   | 15* Залы   | 16.10.2021 11:11:16
26,785        =  | 24,553        =  | 314,653       =  | 26,972        =  | 4,259,599     +  |                  |       | 89  50  15  4   | 15* Залы   | 16.10.2021 17:40:08
26,785        =  | 24,553        =  | 324,422       +  | 26,972        =  | 4,369,290     +  |                  |       | 2   0   0   0   | 15* Залы   | 16.10.2021 17:53:05
